,PREGUNTA,Parte,Dificultad,OPCION_CORRECTA,TEXTO,Discriminacion,_,__
1059,I ________my favorite song when my sister ___________.,2.0,1.094595397,N,a) listened to / called me up,1.0,0.0,0.0
1062,I ________ never happy on a Sunday afternoon.,1.0,5.092115789,N,c) are,1.0,0.0,0.0
1065,___ invite to the picnic?,1.0,2.836838461,N,c) When you are going to,1.0,0.0,0.0
1068,I ____________to the beach every summer when I was a child. Too bad we live so far now.,2.0,0.1850868163,N,c) had gone,1.0,0.0,0.0
1071,I ______ to the cocktail party if I hadn&#146;t had so much work to do.,3.0,0.6600498652000001,N,c) would go,1.0,0.0,0.0
1074,"It's kind of cold, please______________",1.0,0.9989665202,N,a) you open the window.,1.0,0.0,0.0
1077,_______________ It's very hot in here.,2.0,1.4251652119999998,N,"c) Should you leave the window open, please?",1.0,0.0,0.0
1080,"I _______ well for several days, so I _______ to see the doctor.",3.0,-0.3377682444,S,c) hadn&#146;t been feeling . . . went,1.0,0.0,0.0
1083,I wouldn&#146;t have told you if I ______ your reaction.,3.0,5.783369456,S,a) had foreseen,1.0,0.0,0.0
1086,I ______  you if Marc hadn&#146;t told me who you were.,3.0,1.557717806,S,b) wouldn&#146;t have recognized,1.0,0.0,0.0
1089,I __________ you my umbrella if you _________ it.,2.0,1.551170036,S,c) will lend / need,1.0,0.0,0.0
1092,"James considered___________for more time to do his paper, but his professor was very tough on students.",2.0,-3.507800289,N,c)  asked,1.0,0.0,0.0
1095,"Jessica and her husband have ________ married for 20 years, but they have ________ separated half of the time because he works abroad.",2.0,0.6504808965,N,c) been / living,1.0,0.0,0.0
1098,Jim Carey________________ a new film.,1.0,0.4413481042,N,c)shooting<br>,1.0,0.0,0.0
1101,John _______________ for the government since he graduated from Harvard University in 1988.,2.0,-1.309439252,N,c) is working,1.0,0.0,0.0
1104,"John: I need to talk to Paul at home, but he doesn&#146;t  answer. <br><br>Claire:_________________________",1.0,-1.35713123,N,a) Calling his cell phone.,1.0,0.0,0.0
1107,John is not invited to the party. ______________,1.0,3.896784808,S,a) Don&#8217;t call him.,1.0,0.0,0.0
1110,John saw his friend ___________ on the test.,2.0,0.2337185449,N,c) to cheating,1.0,0.0,0.0
1113, Jonathan ________ a pilot.,1.0,1.268337019,S,b)is,1.0,0.0,0.0
1116,"Judging by his accent, he ___________ be French.",2.0,0.1169789431,N,c) ought not to,1.0,0.0,0.0
1119,"Karl ______________the assignment, but he postponed writing it for a week.",2.0,-2.152179565,N,b) intended to doing,1.0,0.0,0.0
1122,Laura _____________cookies for us when we were kids.,2.0,0.4399314719,N,a) has baked,1.0,0.0,0.0
1125,"Laura has never ________ Japanese food, but she has ________ to Japan twice.",2.0,0.5953053739,N,c) ate was,1.0,0.0,0.0
1128,Listen to those people. What language ____________?,1.0,-0.9851448998,S,b) are they speaking,1.0,0.0,0.0
1131,Look at those photographers! They ________________ pictures of all the people.,1.0,-2.604374892,N,c) is taking,1.0,0.0,0.0
1134,Look! It&#146;s raining and Professor Johnson is all wet. He __________ forgotten his umbrella again!,3.0,0.3351329992,S,c) must&#146;ve,1.0,0.0,0.0
1137,Madeleine ________ a Porsche if she won the lottery.,2.0,3.09765438,N,c) bought,1.0,0.0,0.0
1140,_______________ many tigers left in the world.,1.0,-2.450772105,N,c) It doesn't have,1.0,0.0,0.0
1143,"Mary, I won&#146;t get paid until next week. ",2.0,3.1350842780000003,N,a) May you lend me some money?,1.0,0.0,0.0
1146,Mary says she _________________.,1.0,-1.840608357,S,a) is going to visit us soon,1.0,0.0,0.0
1149,"Matt and Sarah have some difficulties in their relationship, so they _____________ to a marriage counselor lately.",2.0,3.29583688,N,c) go,1.0,0.0,0.0
1152,"Melissa ____________ her job, but now she is talking about retirement.",2.0,-0.7002651893,S,c) has been thinking of quitting,1.0,0.0,0.0
1155,Mike _____________ before I left. ,1.0,-0.03501737615,S,c) got up,1.0,0.0,0.0
1158,_______________. Mine is being repaired.,2.0,-0.1679500624,S,"b) Please, could I borrow your car until tomorrow?",1.0,0.0,0.0
1161,_______________ much information available on this issue.<br><br>,1.0,5.588265347,S,c) There isn't,1.0,0.0,0.0
1164,My auntie Harriet is _______________ a mule.,2.0,-0.8819676357999999,S,c) as stubborn as ,1.0,0.0,0.0
1167,My parents have always ________ in Malibu. They have never  ________.,2.0,-3.16426231,S,c) lived moved,1.0,0.0,0.0
1170,Nancy ______________ her presentation while Billy _______ his class project.,2.0,0.7481567839,N,a) prepared / finished,1.0,0.0,0.0
1173,"Next time you visit Cartagena, ___________________",1.0,2.118779001,S,c) you should go to Rosario Islands,1.0,0.0,0.0
1176,"Oh, Anna isn&#146;t at home!_____________",2.0,3.331595714,N,"c) Can you to leave a message for her, please?",1.0,0.0,0.0
1179,Oh no! It ________________ and I don´t have my umbrella.,1.0,-3.025421942,S,c) is raining,1.0,0.0,0.0
1182,_______________ only one way to solve this problem.,1.0,2.253243353,N,c) Are there,1.0,0.0,0.0
1185,"On the list, there were several young athletes_________________________.",3.0,1.992352493,N,c) with whom are regarded as excellent prospects for next year&#146;s team.,1.0,0.0,0.0
1188,Pepe Hernández _____________ in Cuenca from 1992 to 1995. ,1.0,-1.280216235,N,a) lives,1.0,0.0,0.0
1191,Phil felt thirsty _____ he had finished the race.,3.0,-2.197224586,N,a) however,1.0,0.0,0.0
1194,Planes is one of the most popular movies for children. It  __________ at Cinemark.,1.0,-1.7867389930000002,N,c) playing now  ,1.0,0.0,0.0
1197,"Predictably, the students ______________.",3.0,0.6566373677,N,c) did best were not the ones who stayed up all night studying. ,1.0,0.0,0.0
1200,Richard_____________ at the company if he really wants to keep his job.,1.0,-0.7244242833,N,c) would talking to those people,1.0,0.0,0.0
1203,"Robert: Have you ever been to Paris?<br>Lucy: No, but ________ next year with my parents.<br>",1.0,3.305630901,N,c) I go,1.0,0.0,0.0
1206,Sam ________________________  I was upset.,3.0,-3.160414578,N,b. ask if,1.0,0.0,0.0
1209,"Samuel has never ________ the metro, a bus or a car. He has always ________ his horse wherever he goes.",2.0,-3.839281562,S,c) taken ridden,1.0,0.0,0.0
1212,She __________ been here yesterday. John told me he saw her at the bar.,3.0,4.276741674,S,c) couldn&#146;t have,1.0,0.0,0.0
1215,She can&#146;t _____________ hiking because she&#146;s sick.,1.0,-1.564421099,N,c) to go,1.0,0.0,0.0
1218,She wanted to buy a scarf _______ .<br>,3.0,-1.772655954,N,c) that it would complement her blue eyes.,1.0,0.0,0.0
1221,Sofia didn&#146;t _____________ anything for breakfast this morning.,1.0,-2.5859398380000003,N,c) eats,1.0,0.0,0.0
1224,The answers ________.,3.0,1.713415842,S,c) you can find in the back of the book are sometimes incorrect.,1.0,0.0,0.0
1227,The au-pair _____________________  to strangers.,3.0,-0.7072652895,N,b. told to me to take care,1.0,0.0,0.0
1230,The chairman of News International said that in New Orleans ________ bad information came from bloggers.,3.0,2.740383634,N,c) several,1.0,0.0,0.0
1233,"________ the evidence is detailed, conclusive, and corroborated by multiple sources.",3.0,1.13450291,N,c) Many of,1.0,0.0,0.0
1236,The flight attendant __________________ fasten our safety belts.,3.0,3.682359858,N,c. told to us,1.0,0.0,0.0
1239,The food in Japan is expensive. It ___ a lot to live there.<br><br>,1.0,0.6680635161999999,N,a) cost,1.0,0.0,0.0
1242,Their job is great because they ___ a lot of people.<br><br>,1.0,1.4658584069999998,N,c) meets,1.0,0.0,0.0
1245,"The kids didn&#146;t study. _____, they failed the course.",3.0,-1.201456731,S,a) Therefore,1.0,0.0,0.0
1248,The mail carrier told us _____________ looking for the address for a long time.,3.0,2.050619798,S,c. he had been,1.0,0.0,0.0
1251,"The night before the assignment was due, John ___________as much as possible on the topic, but there wasn&#146;t enough time.",2.0,2.565512716,N,c) try to read,1.0,0.0,0.0
1254,The passerby __________________ the paramedics.,3.0,1.72571234,N,a. advised call,1.0,0.0,0.0
1257,"The police were not able to find evidence against her, _____.",3.0,-1.3767623690000002,N,c) surprised no one who knows her well.,1.0,0.0,0.0
1260,The sea level __________ if the planet ________ hotter.,2.0,-0.4347772309,N,b) rise / will get,1.0,0.0,0.0
1263,The US movie industry has made attempts to sell _______ movies online.,3.0,-1.78187814,S,a) some,1.0,0.0,0.0
1266,"________ the victims recognized him as the thief. Therefore, he was released right away.",3.0,-1.642492492,S,c) None of,1.0,0.0,0.0
1269,"They ________________ be away for the weekend, but I&#146;m not sure.",2.0,-0.897615133,N,c) must,1.0,0.0,0.0
1272,They _____________the dishes while the kids ______________.,2.0,-1.130852453,S,c) were doing / were playing,1.0,0.0,0.0
1275,This ________________ be the right answer. It's in the book.,2.0,2.444399203,S,c) must,1.0,0.0,0.0
1278,This case is very difficult! ________________,2.0,0.6185325417,N,"a) May you help me with it, please?",1.0,0.0,0.0
1281,This movie is boring as hell. Look! Even those guys______________,1.0,-1.947269361,S,c)are sleeping.,1.0,0.0,0.0
1284,"This room is totally untidy, I&#146;m going to_________________ it.",3.0,-0.2234029654,S,c) have the kids organize ,1.0,0.0,0.0
1287,This situation is very uncomfortable. ____________  to Jim about it?,1.0,0.6365999322,S,c) Should I talk,1.0,0.0,0.0
1290,"This year, I would like _________Niagara Falls.",1.0,0.5798329153,S,c) to visit,1.0,0.0,0.0
1293,Those windows are very dirty. I think ________,1.0,-2.7059390060000004,N,a) you would washing them.,1.0,0.0,0.0
